Designator,Mid X,Mid Y,Rotation,Layer,
R8,43.300001,16.8,90,top,
R80,41.925,67.4,270,top,
R81,45.825,67.4,270,top,
R82,57.32,81.9,0,top,
R83,57.2,60.5,180,top,
R84,57.32,80.05,0,top,
R85,57.2,62.4,180,top,
R86,68.6478,32.4512,0,top,
R87,73.6516,32.4512,0,top,
R88,63.7202,32.4512,0,top,
R89,76.4456,40.9094,270,top,
R9,39.7,16.8,90,top,
TP1,62.5518,44.7956,0,top,
TP2,92.092,60.7468,0,top,
TP3,96.0544,60.7722,0,top,
U1,50.325,22.2,270,top,0
U2,25.675358,17.542513,180,top,270
U3,49.1,46.2,90,top,180
U4,30.66,46.8,0,top,90
U5,53.05,30.2,0,top,180
U6,82.2368,58.123,0,top,90
U7,67.8502,18.9542,0,top,
U8,67.6064,21.2244,90,top,
USB1,55.2366,12.1312,90,top,
X1,26.5,30.7,0,top,
